CU,CHILD CU,STOCK CODE,QTY,,,,,,,,,,,,,,
11ABCJ2,,000022950,3.00,,,,,,,,,,,,,,
11ABCJ2,,000010886,20.00,,,,,,,,,,,,,,
11ABCJ3,SET152-11,,1.00,,,,,,,,,,,,,,
11ABCJ3,SET162-10,,3.00,,,,,,,,,,,,,,
11ABCJ3,SET257-3,,3.00,,,,,,,,,,,,,,
11ABCJ3,SET273-20,,1.00,,,,,,,,,,,,,,
11ABCJ3,SET51-1,,1.00,,,,,,,,,,,,,,
11ABCJ3,,000022756,0.20,,,,,,,,,,,,,,
11ABCJ3,,000014693,1.00,,,,,,,,,,,,,,
11ABCJ3,,000022818,1.00,,,,,,,,,,,,,,
11ABCJ3,,000022950,3.00,,,,,,,,,,,,,,
11ABCJ3,,000010886,20.00,,,,,,,,,,,,,,
11ABCJ35,,000020344,1.00,,,,,,,,,,,,,,
11ABCJ70,,000015437,1.00,,,,,,,,,,,,,,
11ABCSU/120,,000013118,1.00,,,,,,,,,,,,,,
11ABCSU/120,,000022759,1.00,,,,,,,,,,,,,,
11ABCSU/120,,000022760,1.00,,,,,,,,,,,,,,
11ABCSU/120,,000022762,1.00,,,,,,,,,,,,,,
11ABCSU/120,,000000251,2.00,,,,,,,,,,,,,,
11ABCSU/120,,000001046,2.00,,,,,,,,,,,,,,
11ABCSU/120,,000008521,2.00,,,,,,,,,,,,,,
11ABCSU/120,,000006487,6.00,,,,,,,,,,,,,,
11ABCSU/35,,000013118,1.00,,,,,,,,,,,,,,
11ABCSU/35,,000022759,1.00,,,,,,,,,,,,,,
11ABCSU/35,,000022760,1.00,,,,,,,,,,,,,,
11ABCSU/35,,000022761,1.00,,,,,,,,,,,,,,
11ABCSU/35,,000000251,2.00,,,,,,,,,,,,,,
11ABCSU/35,,000001046,2.00,,,,,,,,,,,,,,
11ABCSU/35,,000008521,2.00,,,,,,,,,,,,,,
11ABCSU/35,,000006487,6.00,,,,,,,,,,,,,,
11ABSUM,SET258-4,,1.00,,,,,,,,,,,,,,
11ABSUM,,000002594,1.00,,,,,,,,,,,,,,
11ABSUM,,000016990,1.00,,,,,,,,,,,,,,
11ABSUM,,000021723,1.00,,,,,,,,,,,,,,
11ABSUM,,000000690,2.00,,,,,,,,,,,,,,
11ABSUMPLP,SET258-4,,1.00,,,,,,,,,,,,,,
11ABSUMPLP,,000021723,1.00,,,,,,,,,,,,,,
